Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,GA,npg,PK,PKatt,CrdY,CrdR,xG,NPxG,xAG,NPxG+xAG,PrgC,PrgP,PrgR,Gls_p90,Ast_p90,GA_p90,npg_p90,npG+A_p90,xG_p90,xAG_p90,xG+xAG_p90,NPxG_p90,NPxG+xAG_p90
1,Brenden Aaronson,USA,"MF,FW",Leeds United,Premier League,21,2000,36,28,2372,26.4,1,3,4,1,0,0,2,0,3.9,3.9,4.2,8.1,43,86,151,0.04,0.11,0.15,0.04,0.15,0.15,0.16,0.31,0.15,0.31
2,Paxten Aaronson,USA,"MF,DF",Eint Frankfurt,Bundesliga,18,2003,7,0,173,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,8,6,15,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11
3,James Abankwah,IRL,DF,Udinese,Serie A,18,2004,2,1,63,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,George Abbott,ENG,MF,Tottenham,Premier League,16,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
5,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,34,1987,37,37,3330,37,1,2,3,1,0,0,6,0,2.4,2.4,1,3.4,40,215,10,0.03,0.05,0.08,0.03,0.08,0.06,0.03,0.09,0.06,0.09
6,Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,22,1999,30,24,2137,23.7,2,2,4,2,0,0,3,0,1.4,1.4,2.9,4.3,58,151,111,0.08,0.08,0.17,0.08,0.17,0.06,0.12,0.18,0.06,0.18
7,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,33,33,2894,32.2,1,1,2,1,0,0,6,1,0.9,0.9,1.6,2.5,33,165,44,0.03,0.03,0.06,0.03,0.06,0.03,0.05,0.08,0.03,0.08
8,Laurent Abergel,FRA,MF,Lorient,Ligue 1,29,1993,29,28,2342,26,0,1,1,0,0,0,7,1,0.5,0.5,1.3,1.8,13,143,14,0.00,0.04,0.04,0.00,0.04,0.02,0.05,0.07,0.02,0.07
9,Oliver Abildgaard,DEN,MF,Hellas Verona,Serie A,26,1996,13,6,592,6.6,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.6,2,15,8,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.09
10,Matthis Abline,FRA,"FW,MF","Auxerre,Rennes","Ligue 1,Ligue 1",19,2003,30,8,913,10.2,3,1,4,2,1,2,1,0,4.4,2.8,1,3.7,18,10,60,0.29,0.10,0.39,0.20,0.29,0.43,0.10,0.53,0.27,0.36
